,lstrLevel,lsregion,lscc,lsccDesc,lsrcode,lsrcodeDesc,lsaa,lsaaDesc,lstt,lsttDesc,lsmm,lsmmDesc,lsyymm,lssumtotMale,lssumtotFemale,lssumtotTot
0,0,0,10,กรุงเทพมหานคร, , ,0, ,0, ,0, ,6602,2569487,2921044,5490531
1,0,0,11,จังหวัดสมุทรปราการ, , ,0, ,0, ,0, ,6602,647502,714910,1362412
2,0,0,12,จังหวัดนนทบุรี, , ,0, ,0, ,0, ,6602,602324,695382,1297706
3,0,0,13,จังหวัดปทุมธานี, , ,0, ,0, ,0, ,6602,569976,634108,1204084
4,0,0,14,จังหวัดพระนครศรีอยุธยา, , ,0, ,0, ,0, ,6602,393740,426889,820629
5,0,0,15,จังหวัดอ่างทอง, , ,0, ,0, ,0, ,6602,130176,142123,272299
6,0,0,16,จังหวัดลพบุรี, , ,0, ,0, ,0, ,6602,365850,368646,734496
7,0,0,17,จังหวัดสิงห์บุรี, , ,0, ,0, ,0, ,6602,96184,106333,202517
8,0,0,18,จังหวัดชัยนาท, , ,0, ,0, ,0, ,6602,152650,165291,317941
9,0,0,19,จังหวัดสระบุรี, , ,0, ,0, ,0, ,6602,313195,325349,638544
10,0,0,20,จังหวัดชลบุรี, , ,0, ,0, ,0, ,6602,778813,819569,1598382
11,0,0,21,จังหวัดระยอง, , ,0, ,0, ,0, ,6602,373705,387637,761342
12,0,0,22,จังหวัดจันทบุรี, , ,0, ,0, ,0, ,6602,261819,274119,535938
13,0,0,23,จังหวัดตราด, , ,0, ,0, ,0, ,6602,112583,115115,227698
14,0,0,24,จังหวัดฉะเชิงเทรา, , ,0, ,0, ,0, ,6602,355926,371221,727147
15,0,0,25,จังหวัดปราจีนบุรี, , ,0, ,0, ,0, ,6602,246212,252108,498320
16,0,0,26,จังหวัดนครนายก, , ,0, ,0, ,0, ,6602,128759,131599,260358
17,0,0,27,จังหวัดสระแก้ว, , ,0, ,0, ,0, ,6602,281267,281610,562877
18,0,0,30,จังหวัดนครราชสีมา, , ,0, ,0, ,0, ,6602,1289581,1339419,2629000
19,0,0,31,จังหวัดบุรีรัมย์, , ,0, ,0, ,0, ,6602,781084,795034,1576118
20,0,0,32,จังหวัดสุรินทร์, , ,0, ,0, ,0, ,6602,681823,690187,1372010
21,0,0,33,จังหวัดศรีสะเกษ, , ,0, ,0, ,0, ,6602,723128,730662,1453790
22,0,0,34,จังหวัดอุบลราชธานี, , ,0, ,0, ,0, ,6602,931910,937446,1869356
23,0,0,35,จังหวัดยโสธร, , ,0, ,0, ,0, ,6602,264539,266687,531226
